"V160001","V160101","V160201","V160202","V161003","V161009","V161010d","V161010e","V161011","V161014","V161015a","V161015b","V161015c","V161015d","V161015e","V161017","V161019","V161020","V161021","V161021a","V161023","V161024x","V161026","V161027","V161028","V161030","V161031","V161032","V161033","V161034","V161035","V161036","V161037","V161038","V161039","V161040","V161041","V161042","V161043","V161044","V161045x","V161046","V161047","V161048","V161049","V161050","V161051","V161052","V161053","V161054","V161055","V161056","V161057","V161058","V161059","V161060","V161061","V161062","V161063","V161064x","V161065x","V161066x","V161067x","V161080","V161080x","V161086","V161087","V161095","V161096","V161132","V161133","V161134a","V161134b","V161135a","V161135b","V161145","V161146","V161147","V161148","V161149","V161150a","V161150b","V161151a","V161151b","V161151x","V161155","V161156","V161157","V161158x","V161136","V161267","V161267x","V161310x","V162031","V162031x","V162034","V162034a","V162046","V161220","V161264x","V161265x","V161270","V161330","V161331a","V161331b","V161331x","V161339","V161340","V161341"
1,0.827,121,2,3,4,22,"LA",1,-1,1,22,1,0,1,1,2,-1,2,-1,-1,3,-1,-1,-1,1,2,1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,11,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21,-1,-1,-1,2,3,0,85,0,70,20,-1,-1,-1,-1,-1,1,2,1,2,2,3,-1,-1,-1,4,2,1,-1,7,3,29,3,1,4,1,1,2,1,3,135,2,9,22,21,0,21,1,1,-1
2,1.0806,123,1,1,1,5,"AR",1,-1,1,5,1,0,1,2,4,-1,2,-1,-1,3,-1,-1,-1,1,2,1,-1,-1,-1,-1,-1,-1,1,2,-1,-1,-1,-1,11,-1,-1,-1,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21,21,21,-1,2,4,0,85,15,85,20,-1,-1,-1,-1,-1,1,1,1,2,1,3,-1,-1,-1,4,2,2,-1,6,2,26,3,1,4,1,1,2,1,2,880,8,13,17,3,0,3,1,2,-1
3,0.3878,121,1,4,4,28,"MS",3,-1,-1,-1,-1,-1,-1,-1,-1,2,2,-1,-1,1,-1,-1,-1,-1,-1,-1,1,2,2,-1,-1,-1,-1,-1,-1,2,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,31,-1,-1,-1,2,4,50,60,50,50,20,-1,-1,-1,-1,-1,4,2,1,2,2,2,-1,-1,2,6,3,-1,3,3,3,23,2,1,-1,-2,-1,-1,-1,3,880,8,9,28,0,6,1,2,2,1
4,0.3596,118,1,3,2,47,"TN",1,-1,1,47,0,0,0,3,-1,-1,2,-1,1,4,1,2,1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,11,-1,-1,-1,1,2,0,60,30,70,11,-1,-4,-4,-4,-4,1,2,1,2,1,-1,1,-1,1,7,0,-1,1,5,2,58,9,1,-1,1,-1,-1,-1,2,182,2,9,47,40,0,40,1,1,-1
5,0.647,113,2,3,3,39,"OH",1,-1,1,39,1,0,0,3,-1,-1,2,-1,-1,3,-1,-1,-1,1,3,2,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,11,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,22,20,20,-1,2,3,15,0,70,40,20,-1,-1,-1,-1,-1,2,1,1,1,1,-1,1,-1,3,5,3,-1,3,3,2,38,5,1,4,1,1,4,1,1,701,7,9,39,38,0,38,1,2,-1
6,0.7062,104,1,1,1,34,"NJ",1,-1,1,34,0,0,1,3,4,-1,2,-1,-1,3,-1,-1,-1,-8,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,2,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21,-1,-1,2,4,0,50,15,30,10,1,48,52,55,45,1,2,1,1,2,1,-1,1,-1,1,0,-1,1,5,2,60,10,1,4,1,1,2,-1,3,400,4,14,36,21,10,22,1,1,-1
7,3.9604,105,1,2,3,36,"NY",1,-1,1,36,1,0,1,3,1,-1,1,1,-1,3,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,11,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20,20,20,-1,2,4,85,0,85,15,20,-1,-1,-1,-1,-1,1,1,1,1,1,1,-1,1,-1,1,1,1,-1,1,2,58,9,2,4,1,1,1,1,1,10,5,5,59,11,0,11,1,1,-1
8,0.962,104,2,1,1,34,"NJ",1,-1,1,34,0,0,1,3,2,-1,1,4,-1,3,-1,-1,-1,1,2,1,-1,-1,-1,-1,-1,-1,1,-1,2,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21,21,-1,-1,2,4,15,85,0,40,10,1,41,51,51,41,1,2,2,1,1,-1,1,-1,1,7,3,-1,2,4,1,56,9,1,4,1,1,2,-1,1,400,4,9,34,40,0,40,1,2,-1
9,0.9761,124,1,1,2,48,"TX",3,-1,-1,-1,-1,-1,-1,-1,-1,2,2,-1,-1,1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,1,2,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,31,-1,-1,2,3,15,60,15,60,10,5,48,44,42,46,3,1,1,2,1,-1,1,-1,2,6,3,-1,1,5,2,45,7,6,-1,-2,-1,-1,-1,2,149,2,9,48,3,0,3,1,2,-1
10,0.6182,121,1,3,4,28,"MS",2,-1,1,28,0,0,0,3,-1,-1,2,-1,-1,3,-1,-1,-1,-8,-1,-1,-1,-1,-1,-1,-1,-1,-8,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,2,60,50,50,50,20,-1,-1,-1,-1,-1,1,1,1,1,2,2,-1,-1,1,7,3,-1,3,3,3,30,4,1,4,1,1,3,-1,1,10,5,10,28,3,0,3,1,2,-1
11,2.146,121,2,4,4,22,"LA",1,-1,1,22,1,0,1,2,2,-1,2,-1,-1,3,-1,-1,-1,1,-8,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,11,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,4,0,50,0,60,10,3,70,-8,20,80,1,2,1,2,2,1,-1,3,-1,3,3,-1,1,5,2,40,6,1,-6,-2,-6,-6,-6,3,135,2,7,48,17,0,17,1,2,-1
12,0.5548,116,1,2,1,37,"NC",1,-1,1,37,1,1,1,3,1,-1,2,-1,-1,3,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,-1,1,5,-1,-1,-1,-1,31,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,20,22,20,20,2,4,85,0,85,30,10,1,80,14,45,55,1,1,2,2,2,-1,1,-1,2,6,3,-1,3,3,2,86,13,1,-6,-2,-6,-6,-6,1,270,1,10,42,40,4,40,2,2,1
13,0.919,106,2,2,1,9,"CT",1,-1,1,9,1,0,1,1,4,-1,2,-1,-1,3,-1,-1,-1,1,3,2,-1,-1,-1,-1,-1,-1,1,-1,2,-1,-1,-1,11,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,22,21,-1,-1,2,4,40,30,40,70,10,1,43,38,54,46,2,1,1,1,1,1,-1,2,-1,2,5,-1,1,5,1,30,4,5,4,1,1,3,1,1,249,5,13,9,1,0,1,1,1,-1
14,1.166,113,2,2,1,39,"OH",1,-1,1,39,1,0,0,3,-1,-1,1,2,-1,3,-1,-1,-1,1,2,1,-1,-1,-1,-1,-1,-1,1,2,-1,-1,-1,-1,11,-1,-1,-1,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21,21,21,-1,2,4,0,85,15,50,10,1,49,51,45,55,1,2,1,2,1,-1,1,-1,1,7,1,2,-1,2,1,67,11,1,4,1,1,2,1,2,10,5,12,39,40,0,40,1,1,-1
15,0.335,110,2,1,1,20,"KS",2,-1,0,29,1,1,0,1,-1,-1,1,1,-1,3,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,-1,1,-1,1,-1,-1,-1,31,-1,-1,-1,1,-1,1,-1,-1,-1,-1,-1,-1,1,-1,1,-1,-1,-1,20,20,20,20,2,4,85,0,85,30,20,-1,-1,-1,-1,-1,1,1,2,2,1,1,-1,2,-1,2,1,1,-1,1,3,62,10,1,4,1,1,1,1,2,230,1,14,17,0,5,1,1,2,-1
16,1.05,101,2,4,-1,25,"MA",3,-1,-1,-1,-1,-1,-1,-1,-1,2,2,-1,-1,1,-1,-1,-1,-1,-1,-1,1,2,2,-1,-1,-1,-1,-1,-1,2,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,31,-1,-1,-1,-8,-2,50,60,60,50,20,-1,-1,-1,-1,-1,5,2,1,1,1,3,-1,-1,-1,4,1,1,-1,1,2,51,8,1,-1,-2,-1,-1,-1,2,150,1,9,25,13,0,13,2,2,2
17,0.8084,115,2,1,1,11,"DC",1,-1,1,11,0,0,1,3,1,-1,1,1,-1,3,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20,20,-1,-1,2,4,85,0,70,15,10,2,47,44,48,44,1,1,1,1,2,-1,2,1,-1,1,1,1,-1,1,-8,46,7,5,4,1,1,1,-1,1,400,4,14,48,16,11,17,1,1,-1
18,0.2423,131,2,2,2,35,"NM",1,-1,1,35,0,0,1,2,2,-1,2,-1,-1,3,-1,-1,-1,1,2,1,-1,-1,-1,-1,-1,-1,1,2,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21,21,-1,-1,2,4,40,100,30,70,10,1,45,55,60,40,1,2,1,1,2,-1,1,-1,1,7,2,1,-1,7,2,70,12,1,4,1,1,2,-1,2,880,8,13,6,4,0,4,1,2,-1
19,1.7603,105,2,1,1,36,"NY",1,-1,1,36,1,0,1,1,1,-1,1,1,-1,3,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,-1,1,2,-1,-1,-1,-1,11,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20,21,20,-1,2,3,85,0,70,15,10,1,55,45,55,45,1,1,1,1,1,-1,2,2,-1,2,1,1,-1,1,2,30,4,1,4,1,1,1,1,2,400,4,14,36,3,0,3,1,1,-1
20,1.3938,126,1,2,2,53,"WA",1,-1,1,53,1,1,0,3,-1,-1,1,2,-1,3,-1,-1,-1,1,3,1,-1,-1,-1,-1,-1,-1,1,-1,-8,-1,-1,-1,31,-1,-1,-1,1,-1,-8,-1,-1,-1,-1,-1,-1,1,-1,3,-1,-1,-1,22,-1,-1,22,2,4,15,15,40,60,20,-1,-1,-1,-1,-1,2,5,1,2,1,1,-1,1,-1,1,2,2,-1,6,2,67,11,1,4,1,2,-1,1,2,400,4,10,41,40,6,40,1,1,-1
21,0.8591,121,2,3,3,22,"LA",2,-1,1,22,1,0,1,3,1,-1,1,5,1,4,1,2,1,-1,-1,-1,-1,-1,-1,1,-1,3,-1,-1,-1,-1,-1,-1,11,1,-1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,11,12,12,-1,2,4,0,85,15,70,21,-1,-1,-1,-1,-1,1,1,1,2,1,2,-1,-1,1,7,2,2,-1,6,2,66,11,1,-1,1,-1,-1,-1,3,400,4,9,22,30,0,30,1,1,-1
22,0.5387,128,1,3,2,4,"AZ",1,-1,1,4,1,0,1,1,2,-1,2,-1,-1,3,-1,-1,-1,1,2,1,-1,-1,-1,-1,-1,-1,1,-1,2,-1,-1,-1,11,-1,-1,-1,1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21,21,21,-1,1,2,10,90,40,80,10,1,40,60,50,50,1,2,1,2,1,-1,1,-1,1,7,2,2,-1,6,2,32,4,1,4,1,1,2,1,1,880,8,12,38,10,0,10,1,2,-1
23,2.7749,103,2,4,4,42,"PA",1,-1,1,42,1,0,1,3,2,-1,1,6,-1,3,-1,-1,-1,1,1,2,-1,-1,-1,-1,-1,-1,1,2,-1,-1,-1,-1,11,-1,-1,-1,1,-8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20,21,-1,-1,2,4,60,0,50,15,10,1,54,46,50,50,2,-8,1,-8,1,2,-1,-1,1,7,0,-1,1,5,2,56,9,1,4,1,1,1,1,3,220,1,10,42,19,7,20,1,2,-1
24,0.5215,108,2,3,3,20,"KS",1,-1,1,20,1,0,1,3,1,-1,2,-1,-1,3,-1,-1,-1,1,-8,-1,-1,-1,-1,-1,-1,-1,1,-1,2,-1,-1,-1,11,-1,-1,-1,1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21,21,-1,2,3,30,60,40,60,10,1,40,50,35,55,2,2,1,2,2,-1,2,2,-1,2,0,-1,1,5,1,65,11,1,4,1,1,2,1,2,230,1,14,54,26,0,26,1,2,-1
25,1.0294,121,2,2,2,22,"LA",2,-1,1,22,1,0,1,3,1,-1,2,-1,-1,3,-1,-1,-1,1,2,1,-1,-1,-1,-1,-1,-1,1,-1,2,-1,-1,-1,11,-1,-1,-1,1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21,21,21,-1,2,4,0,60,15,40,10,1,45,55,30,70,1,2,1,2,1,-1,1,-1,1,7,3,-1,1,5,2,61,10,6,4,1,1,2,1,1,880,8,8,22,0,2,1,1,2,-1
26,0.8431,103,2,2,4,42,"PA",3,-1,-1,-1,-1,-1,-1,-1,-1,2,2,-1,-1,1,-1,-1,-1,-1,-1,-1,1,2,2,-1,-1,-1,-1,-1,-1,2,-1,-1,10,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,31,-1,-1,-1,2,3,0,70,50,50,10,5,45,55,50,50,3,2,2,2,1,3,-1,-1,-1,4,3,-1,1,5,3,34,4,4,-1,-2,-1,-1,-1,3,10,5,7,42,0,6,1,2,2,1
27,0.2153,120,2,4,3,12,"FL",3,-1,-1,-1,-1,-1,-1,-1,-1,2,2,-1,-1,1,-1,-1,-1,-1,-1,-1,1,2,2,-1,-1,-1,-1,-1,-1,2,-1,-1,10,-1,-1,-1,-1,-1,-1,1,-4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,31,-1,-1,-1,1,2,15,40,50,60,10,4,58,40,48,50,3,1,2,2,1,-1,1,-1,1,7,3,-1,2,4,2,68,11,1,-1,-2,-1,-1,-1,1,400,4,13,17,2,6,2,1,1,-1
28,0.9996,118,1,4,4,47,"TN",1,-1,1,47,0,0,0,1,-1,-1,2,-1,-1,3,-1,-1,-1,1,-9,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,2,40,70,50,50,20,-1,-1,-1,-1,-1,4,8,1,-8,-8,1,-1,2,-1,2,3,-1,2,4,3,25,3,1,4,1,1,-9,-1,2,199,2,9,47,13,0,13,1,2,-1
29,0.976,101,2,1,1,25,"MA",1,-1,1,25,0,0,1,3,1,-1,1,1,-1,3,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,-1,1,-1,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20,20,-1,-1,2,4,85,0,85,15,10,1,45,42,75,10,1,1,1,1,2,-1,2,1,-1,1,3,-1,3,3,1,73,12,1,4,1,1,1,-1,1,400,4,14,25,30,0,30,1,1,-1
30,1.8963,110,2,2,3,20,"KS",1,-1,1,20,1,0,1,3,1,-1,2,-1,2,4,1,-9,-1,-1,-1,-1,-1,-1,-1,1,-1,-9,-1,-1,-1,-1,-1,-1,11,1,-1,-9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,4,40,40,30,50,11,-1,-4,-4,-4,-4,2,1,1,1,1,-1,2,1,-1,1,3,-1,2,4,2,67,11,1,-1,1,-1,-1,-1,3,10,5,9,19,40,0,40,1,1,-1
31,0.9458,128,2,3,3,4,"AZ",2,-1,1,4,1,0,1,3,-8,-1,2,-1,-1,3,-1,-1,-1,1,-8,-1,-1,-1,-1,-1,-1,-1,1,5,-1,-1,-1,-1,11,-1,-1,-1,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,22,21,-1,2,3,40,60,70,70,10,2,50,50,50,50,1,-8,1,2,1,2,-1,-1,2,6,1,2,-1,2,2,35,5,1,3,0,-1,-1,-1,2,10,5,14,56,11,11,12,1,2,-1
32,0.3137,108,1,1,1,20,"KS",1,-1,1,20,1,0,1,2,2,-1,2,-1,-1,3,-1,-1,-1,1,2,1,-1,-1,-1,-1,-1,-1,1,2,-1,-1,-1,-1,11,-1,-1,-1,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21,21,21,-1,2,4,0,85,0,15,20,-1,-1,-1,-1,-1,1,2,2,2,2,-1,2,1,-1,1,2,1,-1,7,3,64,10,1,-6,-2,-6,-6,-6,3,10,5,13,20,40,0,40,1,2,-1
33,0.9602,131,2,2,2,35,"NM",1,-1,1,35,0,0,1,3,2,-1,1,4,-1,3,-1,-1,-1,1,2,1,-1,-1,-1,-1,-1,-1,1,2,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21,21,-1,-1,2,3,0,100,0,85,10,1,40,60,40,50,1,1,1,2,1,1,-1,1,-1,1,2,1,-1,7,1,73,12,1,4,1,1,2,-1,1,10,5,10,38,12,0,12,1,1,-1
34,0.2302,111,2,1,1,17,"IL",1,-1,1,17,1,0,0,3,-1,-1,1,4,-1,3,-1,-1,-1,1,2,1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,11,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21,-1,-1,-1,2,4,0,100,0,60,10,1,44,52,60,35,2,2,1,1,2,-1,2,1,-1,1,3,-1,1,5,2,69,11,1,4,1,1,2,1,3,400,4,13,17,11,0,11,1,2,-1
35,0.5052,101,1,4,4,25,"MA",1,-1,1,25,0,0,1,2,4,-1,2,-1,-1,3,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,2,40,40,40,50,10,5,40,45,30,45,5,2,1,2,2,-1,3,-1,-1,4,2,2,-1,6,2,41,6,1,3,0,-1,-1,-1,1,149,2,13,25,5,2,5,1,2,-1
36,0.595,118,1,1,2,47,"TN",1,-1,1,47,0,0,0,1,-1,-1,2,-1,-1,3,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20,20,-1,-1,2,4,70,15,60,40,20,-1,-1,-1,-1,-1,1,1,2,2,2,2,-1,-1,2,6,1,2,-1,2,2,67,11,1,4,1,1,1,-1,1,149,2,16,17,3,0,3,1,1,-1
37,1.2441,132,1,2,3,8,"CO",3,-1,-1,-1,-1,-1,-1,-1,-1,1,2,-1,-1,2,-1,-1,-1,1,-8,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,10,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-8,-2,40,60,60,30,10,3,50,50,40,55,2,1,1,2,1,-1,2,2,-1,2,3,-1,3,3,2,59,9,1,-6,-2,-6,-6,-6,2,880,8,9,56,8,0,8,1,2,-1
38,0.5705,108,1,2,2,20,"KS",1,-1,1,20,1,0,1,3,2,-1,1,4,-1,3,-1,-1,-1,1,2,1,-1,-1,-1,-1,-1,-1,1,2,-1,-1,-1,-1,11,-1,-1,-1,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21,21,21,-1,2,4,0,85,15,85,20,-1,-1,-1,-1,-1,1,2,1,2,1,-1,1,-1,2,6,2,1,-1,7,1,54,8,1,4,1,1,2,1,3,10,5,11,20,40,0,40,1,1,-1
39,0.9134,101,3,4,5,25,"MA",1,-1,1,25,0,0,1,2,4,-1,2,-1,-1,3,-1,-1,-1,1,2,1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21,-1,-1,-1,1,1,100,85,60,85,20,-1,-1,-1,-1,-1,3,1,2,1,1,-1,1,-1,1,7,3,-1,3,3,3,48,7,5,2,0,-1,-1,-1,1,880,8,4,25,3,0,3,2,2,2
40,2.0735,119,1,3,3,13,"GA",1,-1,1,13,1,0,0,3,-1,-1,2,-1,-1,3,-1,-1,-1,1,1,2,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,11,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20,20,20,-1,2,3,60,0,85,30,20,-1,-1,-1,-1,-1,1,1,1,1,1,2,-1,-1,3,5,1,2,-1,2,2,26,3,2,4,1,1,1,1,1,10,5,10,13,9,0,9,1,2,-1
41,1.1632,123,1,2,3,5,"AR",1,-1,1,5,1,0,1,3,4,-1,1,4,1,4,1,2,1,-1,-1,-1,-1,-1,-1,1,2,-1,-1,-1,-1,-1,-1,-1,11,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,11,11,11,-1,2,3,30,80,40,80,11,-1,-4,-4,-4,-4,2,2,1,2,1,-1,2,1,-1,1,3,-1,1,5,1,-9,-2,1,-1,1,-1,-1,-1,2,221,2,8,17,12,0,12,1,2,-1
42,0.2349,107,1,4,4,55,"WI",2,-1,1,55,1,0,0,2,-1,-1,1,8,-1,3,-1,-1,-1,1,2,1,-1,-1,-1,-1,-1,-1,1,-1,2,-1,-1,-1,11,-1,-1,-1,1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21,21,21,-1,1,2,0,60,15,70,10,1,45,55,55,45,2,2,1,1,1,2,-1,-1,1,7,2,1,-1,7,2,25,3,1,4,1,1,2,1,2,220,1,11,55,2,0,2,1,2,-1
43,0.7569,115,2,1,1,11,"DC",1,-1,1,11,0,0,1,3,1,-1,2,-1,-1,3,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,-1,1,-1,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20,20,-1,-1,1,1,100,0,100,0,10,1,48,42,72,30,1,1,1,1,2,3,-1,-1,-1,4,1,1,-1,1,2,46,7,2,4,1,1,1,-1,3,135,2,13,11,20,8,21,1,1,-1
44,0.7611,105,2,1,1,36,"NY",1,-1,1,36,1,0,1,3,2,-1,1,4,-1,3,-1,-1,-1,1,2,1,-1,-1,-1,-1,-1,-1,1,2,-1,-1,-1,-1,11,-1,-1,-1,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21,21,21,-1,1,1,0,100,0,100,20,-1,-1,-1,-1,-1,1,2,1,2,1,-1,2,1,-1,1,2,1,-1,7,1,59,9,1,4,1,1,2,1,1,400,4,11,36,23,0,23,1,1,-1
45,0.9391,108,2,2,3,20,"KS",1,-1,1,20,1,0,1,2,5,-1,2,-1,-1,3,-1,-1,-1,1,2,1,-1,-1,-1,-1,-1,-1,1,2,-1,-1,-1,-1,11,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21,21,20,-1,2,4,0,70,0,60,10,1,40,45,40,47,1,2,1,2,2,-1,2,1,-1,1,3,-1,1,5,1,39,5,1,4,1,1,2,1,2,726,7,12,40,10,0,10,1,2,-1
46,1.2799,109,1,3,3,17,"IL",1,-1,1,17,1,0,0,3,-1,-1,1,1,-1,3,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,11,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20,20,20,-1,2,3,85,0,60,30,20,-1,-1,-1,-1,-1,1,1,2,1,2,1,-1,2,-1,2,1,2,-1,2,1,52,8,1,4,1,1,1,1,2,221,2,13,31,30,0,30,1,1,-1
47,0.2348,122,1,4,3,48,"TX",3,-1,-1,-1,-1,-1,-1,-1,-1,2,2,-1,-1,1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30,-1,-1,2,3,60,60,60,60,20,-1,-1,-1,-1,-1,3,1,1,2,2,1,-1,2,-1,2,3,-1,2,4,3,29,3,5,-1,-2,-1,-1,-1,3,400,4,13,59,10,0,10,1,1,-1
48,0.51,116,1,2,3,37,"NC",1,-1,1,37,1,1,1,3,1,-1,1,2,-1,3,-1,-1,-1,1,2,2,-1,-1,-1,-1,-1,-1,1,5,-1,-1,-1,-1,31,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,21,22,20,20,2,4,0,70,30,85,10,2,70,30,60,40,1,1,1,1,1,-8,-1,-1,-1,-2,3,-1,1,5,2,46,7,1,4,1,1,2,1,3,149,2,11,4,22,5,22,1,2,-1
49,0.9644,118,1,4,4,47,"TN",2,-1,1,47,0,0,0,3,-1,-1,2,-1,-1,3,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,-1,1,-1,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20,20,-1,-1,2,3,60,40,70,40,20,-1,-1,-1,-1,-1,1,1,2,2,2,1,-1,1,-1,1,1,1,-1,1,1,45,7,6,3,0,-1,-1,-1,2,880,8,95,41,0,6,1,1,1,-1
50,1.0705,116,2,4,3,37,"NC",2,-1,1,37,1,1,1,3,1,-1,1,1,1,4,1,1,1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,31,1,1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,10,10,10,10,2,4,70,40,85,60,21,-1,-1,-1,-1,-1,2,1,2,1,2,2,-1,-1,1,7,1,2,-1,2,3,64,10,2,-6,1,-6,-6,-6,2,149,2,8,37,40,0,40,1,2,-1
