"V160001","V160101","V160201","V160202","V161003","V161009","V161010d","V161010e","V161011","V161014","V161015a","V161015b","V161015c","V161015d","V161015e","V161017","V161019","V161020","V161021","V161021a","V161023","V161024x","V161026","V161027","V161028","V161030","V161031","V161032","V161033","V161034","V161035","V161036","V161037","V161038","V161039","V161040","V161041","V161042","V161043","V161044","V161045x","V161046","V161047","V161048","V161049","V161050","V161051","V161052","V161053","V161054","V161055","V161056","V161057","V161058","V161059","V161060","V161061","V161062","V161063","V161064x","V161065x","V161066x","V161067x","V161080","V161080x","V161086","V161087","V161095","V161096","V161132","V161133","V161134a","V161134b","V161135a","V161135b","V161145","V161146","V161147","V161148","V161149","V161150a","V161150b","V161151a","V161151b","V161151x","V161155","V161156","V161157","V161158x","V161136","V161267","V161267x","V161310x","V162031","V162031x","V162034","V162034a","V162046","V161220","V161264x","V161265x","V161270","V161330","V161331a","V161331b","V161331x","V161339","V161340","V161341"
2502,1.9862,30,2,3,3,39,"OH",1,-1,1,39,1,0,0,1,-1,-1,2,-1,-1,3,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,-1,1,2,-1,-1,-1,-1,11,-1,-1,-1,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20,21,21,-1,1,2,100,2,85,0,10,1,70,30,70,30,1,1,2,1,2,-1,2,1,-1,1,1,1,-1,1,3,38,5,2,4,1,2,-1,2,2,121,1,9,39,2,0,2,2,2,1
2503,0.9579,31,1,4,4,17,"IL",1,-1,1,17,1,0,0,3,-1,-1,1,7,-1,3,-1,-1,-1,1,3,2,-1,-1,-1,-1,-1,-1,1,2,-1,-1,-1,-1,11,-1,-1,-1,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,22,21,21,-1,2,4,30,40,40,50,20,-1,-1,-1,-1,-1,3,1,2,1,2,1,-1,2,-1,2,2,2,-1,6,2,46,7,3,4,1,1,3,1,2,222,2,10,17,16,5,16,1,1,-1
2504,0.7859,32,1,1,1,26,"MI",3,-1,-1,-1,-1,-1,-1,-1,-1,1,2,-1,-1,2,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20,20,-1,-1,2,3,100,15,85,30,20,-1,-1,-1,-1,-1,1,1,1,1,1,2,-1,-1,1,7,1,1,-1,1,1,52,8,1,2,0,-1,-1,-1,2,99,5,90,26,28,6,28,1,2,-1
2505,0.7265,34,1,3,4,26,"MI",3,-1,-1,-1,-1,-1,-1,-1,-1,2,2,-1,-1,1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,3,0,0,30,30,20,-1,-1,-1,-1,-1,5,5,2,1,1,-1,3,-1,-1,4,3,-1,2,4,3,62,10,1,2,0,-1,-1,-1,2,292,2,9,17,2,0,2,1,2,-1
2506,0.4993,35,2,1,3,36,"NY",1,-1,1,36,1,0,1,1,4,-1,2,-1,-1,3,-1,-1,-1,1,6,2,-1,-1,-1,-1,-1,-1,1,-8,-1,-1,-1,-1,11,-1,-1,-1,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21,-1,2,4,15,40,15,60,20,-1,-1,-1,-1,-1,2,1,1,1,2,2,-1,-1,2,6,3,-1,1,5,1,52,8,1,4,1,1,2,1,2,400,4,14,36,17,0,17,1,1,-1
2507,0.6767,36,1,2,2,24,"MD",1,-1,1,24,1,0,1,3,1,-1,1,1,-1,3,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,11,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20,20,20,-1,2,4,70,0,70,0,20,-1,-1,-1,-1,-1,1,1,2,1,2,-1,3,-1,-1,4,1,1,-1,1,1,48,7,1,4,1,1,1,1,2,880,8,14,24,11,0,11,1,1,-1
2508,2.2153,37,2,5,3,6,"CA",3,-1,-1,-1,-1,-1,-1,-1,-1,2,1,2,-1,1,-1,-1,-1,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,-1,2,-1,-1,10,-1,-1,-1,-1,-1,-1,1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30,-1,32,-1,1,1,85,85,62,77,20,-1,-1,-1,-1,-1,3,2,2,1,2,-1,2,2,-1,2,1,2,-1,2,1,26,3,5,3,0,-1,-1,-1,2,400,4,9,6,16,1,16,1,1,-1
2509,0.7217,38,1,1,2,34,"NJ",1,-1,1,34,0,0,1,-9,-9,-1,2,-1,-1,3,-1,-1,-1,1,2,2,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21,20,-1,-1,2,3,0,36,29,30,10,1,49,51,75,25,2,2,1,1,2,-1,3,-1,-1,4,3,-1,2,4,2,65,11,1,4,1,1,2,-1,2,99,5,15,34,30,0,30,1,2,-1
2510,3.6345,39,2,2,2,48,"TX",1,-1,1,48,0,0,0,3,-1,-1,1,1,-1,3,-1,-1,-1,1,1,2,-1,-1,-1,-1,-1,-1,1,2,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20,21,-1,-1,1,2,70,0,50,85,20,-1,-1,-1,-1,-1,2,8,2,2,2,-1,2,1,-1,1,2,1,-1,7,2,55,9,5,4,1,1,2,-1,3,400,4,9,48,20,11,21,1,1,-1
2511,1.9507,40,2,4,4,39,"OH",1,-1,1,39,1,0,0,3,-1,-1,2,-1,-1,3,-1,-1,-1,1,2,2,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,11,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21,-1,-1,-1,1,2,0,60,15,70,20,-1,-1,-1,-1,-1,2,2,1,2,1,-1,2,3,-1,3,2,2,-1,6,3,46,7,1,4,1,1,-9,2,2,257,3,12,39,40,1,40,1,1,-1
